mmnhz|冷读启动|我猜你是个女汉子，虽然外表看起来是萌妹
sskd|网聊开场白|@我方: 您的快递到了，请签收。 #@对方: 啊？我没有快递啊。 #@我方: 有的，单子上写的你收到的是一位集帅气、才华、高 智商、温柔于一身的绅士。我还有照片，不信你看。
dltx|街搭开场白|@场景: 街上 #@我方: 【故意挡路】 你好,【停顿，让女孩看你，对女孩微笑】你一个人来逛街么？ #@对方:  然后她说“不好意思”或者其他什么的。 #@我方: 没关系，就算你没挡到我的路，我都会因为你而停下来的。
nykcb|街搭开场白|@场景: 公共空间 #@我方: Hi,【想半天后,加以一定肢体语言】你知道什么好的开场白吗？
rsnbszg|街搭开场白|@场景: 公共空间 #@我方: 刚才看见了你，我觉得如果能认识你，那么我觉得今天还不算太糟糕
qzxyw|街搭开场白|@场景: 公共空间 #@我方: Hi,我只是过来打个招呼，因为我刚刚发现你气质有点吸引我。如果我不过来，一定会有遗憾。
dengren|街搭开场白|@场景: 公共空间,目标处于非行走状态 #@我方: 【佯装打电话】 “你说到哪儿汇合？三里屯优衣库?  【转向目标】HI，我们这个地方是在哪儿？【假性时间限制, 展开话题】“我在这里等一个朋友，他过几分钟就过来了。你也在这里等人么？”
yxsjlt|街搭开场白|@场景: 任意 #@我方: 你好，我想认识你--的男朋友。因为我觉得我跟他肯定谈得来，因为他和我有一个最大的共同点，那就是，我们都有 非常好的眼光。
rsw|室内开场白|@场景: 酒吧 #@我方: 你第一次来这儿吗？ #@对方: 是的 #@我方: 难怪你不认识我。
brsw|室内开场白|@场景: 酒吧 #@我方: 你第一次来这儿吗？ #@对方: 不是，我来过几次 #@我方: 那你竟然还不认识我。
lphrsn|间隔开场白|@场景: 收号后在社交软件上开场 #@我方: 我估计上次很多人都想认识你，只不过我比他们的脸皮厚一点儿而已。
jmzj|推拉|你的睫毛很长，是真的吗？
nygd|推拉|你那么有格调，怎么会出现在这种地方？
nhplhp|推拉|你的个性很外向, 这是很珍贵的特质。我在XX待过，那里很多美女，但是没有几个像你这么活泼的。
zhijia|推拉|@我方: 你的指甲是假的吧。#@对方: 是真的 #@我方: 我不相信真的指甲能有这么漂亮。
mote|推拉|@我方: 你是模特吗? #@对方: 是的 #@我方: 我不怎么喜欢模特…… #@对方: 为什么? #@我方: 我认识的模特都很无聊，只有好身材好脸蛋，却没多少思想
xiguatou|推拉|你的发型好像西瓜，不过很可爱啊
dwasn|推拉|不要用这种眼神盯这我，我会爱上你的.
kyh|推拉|你们看起来还蛮酷的，你们对人友好吗？
yffxbd|推拉|我发现你这件衣服挺好看的（停顿一下然后看一下她的发型），不过你的发型跟这身衣服不是很搭（打压），如果这样这样扎起来，就更加搭了
ranfa|推拉|挖~~你是怎么做到只染头发根部的？那可是很高难度的！
zxbshy|冷读|我可以看出你在中学时的样子，我敢打赌当时你并不太善于社交或受欢迎。
bbgl|冷读|一定有很多人觉得你难交往，但你并不是，其实你在很多方面都很害羞。
hxshr|冷读|你的微笑很美, 我看得出在外表底下，你或许是个好人。
nsxshr|冷读|你是一个外表虽然很羞涩但是内心却很火热的女孩。
nsklbs|冷读|你是一个外表虽然开朗但是内心却很保守的女孩。
woshou|冷读|@场景: 和对方握手以后 #@我方  【有力的握手】我猜你的控制欲一定很强; 【无力的握手】我猜你一定性格内向
rsbjdpy|冷读|@场景: 冷读两人组 #@我方: 你们应该认识得不算太久。通常亲密的朋友都有相同的举止风格，但你们并没有。
hrhr|冷读|@场景: 冷读两人组,就某一个话题，两人意见不是很统一 #@我方: 看起来你是个好人，而你是个坏人。 【这样会立即使得两个 MM 同意， 或者不同意。这样你就可以引导她们进入新的话题。】
mtjy|破冰|@场景: 用于完全没有话题或刚认识很拘谨的场合下 #@我方: 你看上去好像家里养的两条金鱼刚掉到马桶里，被你冲了。
qmr|破冰|@场景: 用于完全没有话题或刚认识很拘谨的场合下 #@我方: 为了等下不吓到你，我有必要先说明下我的职业，驱魔人... 儿歌 300 首，平常我都随身带着的, 恶魔害怕纯真.
cbl|假性失格|我就知道我们一定处不来。
bshznpy|假性失格|我完全不适合做男朋友。嘿，那边那个人看起来很适合你。
txlxhn|假性失格|你挺漂亮的——如果我不是同性恋——我想我会喜欢你！
wufq|荤段子|我们学校后墙有个告示牌，上面写着：请勿翻越此围墙，十分危险，因为男生从此翻，不小心就变成女生, 女生从此翻，不小心就变成女人。
zlypny|笑话|一对情侣一起去殉情，可是他们身上的钱只够买一瓶农药，而且这瓶农药的药量只够一个人死，可是最后他们两个人都死 了，这是为什么呢？【答案】：他们买了瓶农药后，打开瓶盖，发现瓶盖上写着 “再来一瓶”。
szss|现场游戏| 伸出1个手指，问别人"这是几"，再次伸出2个手指，问别人"这是几"，再次伸出3个手指，问别人"1＋1是几"，10人里最多1人答对。
biyida|现场游戏|问比1大的数字有吗对方说有，再问比10的的有没有对方说有，直到说到1000000，最后问比你傻瓜的有没有。 
cwhd|现场游戏| 我问你五个问题,你都要用错误的答案来回答我„„随便说三个问题，然后问：“我问了几个问题了？”对方会说“三个”， 然后就赢了。接着再玩一遍，问到第五个问题，就问：“你这么厉害,你以前是不是玩过这个问题的？”对方会说没玩过，然后又赢了。
